index,Feature,Coefficient,Player
DISTANCE,MEAN_LANDING_POWER,0.04387227260723421,3
AAL,ECCENTRIC_MEAN_FORCE,0.0,3
SPEEDMAX,ECCENTRIC_MEAN_FORCE,0.0,3
JUMPS,ECCENTRIC_MEAN_FORCE,0.0,3
PHYSIOLOAD,ECCENTRIC_MEAN_FORCE,0.0,3
EXERTIONS,ECCENTRIC_MEAN_FORCE,0.0,3
DISTANCE,ECCENTRIC_MEAN_FORCE,0.0,3
AAL,ECCENTRIC_CONCENTRIC_MEAN_FORCE_RATIO,0.04280527929590841,3
SPEEDMAX,ECCENTRIC_CONCENTRIC_MEAN_FORCE_RATIO,-0.07828046010335744,3
JUMPS,ECCENTRIC_CONCENTRIC_MEAN_FORCE_RATIO,0.03221951007164393,3
PHYSIOLOAD,ECCENTRIC_CONCENTRIC_MEAN_FORCE_RATIO,0.06086870034625315,3
EXERTIONS,ECCENTRIC_CONCENTRIC_MEAN_FORCE_RATIO,0.04094463133255935,3
DISTANCE,ECCENTRIC_CONCENTRIC_MEAN_FORCE_RATIO,0.04197748582874085,3
AAL,ECCENTRIC_MEAN_POWER_BM,0.0913812528462869,3
SPEEDMAX,ECCENTRIC_MEAN_POWER_BM,-0.029347539305466245,3
JUMPS,ECCENTRIC_MEAN_POWER_BM,0.04796989788344276,3
PHYSIOLOAD,ECCENTRIC_MEAN_POWER_BM,0.11689052296267949,3
EXERTIONS,ECCENTRIC_MEAN_POWER_BM,0.06821748702807473,3
DISTANCE,ECCENTRIC_MEAN_POWER_BM,0.08253774869013364,3
AAL,CONCENTRIC_DURATION,0.01375317257879149,3
SPEEDMAX,CONCENTRIC_DURATION,-0.047754786105211555,3
JUMPS,CONCENTRIC_DURATION,0.02457945786524242,3
PHYSIOLOAD,CONCENTRIC_DURATION,0.01934878683143569,3
EXERTIONS,CONCENTRIC_DURATION,0.018046149978908042,3
DISTANCE,CONCENTRIC_DURATION,0.010663897322424993,3
AAL,ECCENTRIC_DECELERATION_IMPULSE,0.04692206357231751,3
SPEEDMAX,ECCENTRIC_DECELERATION_IMPULSE,-0.02361122429525129,3
JUMPS,ECCENTRIC_DECELERATION_IMPULSE,0.015014531943210436,3
PHYSIOLOAD,ECCENTRIC_DECELERATION_IMPULSE,0.06196547338665272,3
EXERTIONS,ECCENTRIC_DECELERATION_IMPULSE,0.02863150362299298,3
DISTANCE,ECCENTRIC_DECELERATION_IMPULSE,0.042735394382562984,3
AAL,CONCENTRIC_IMPULSE_100_MS_CONCENTRIC_IMPULSE,-0.0009958947532929306,3
SPEEDMAX,CONCENTRIC_IMPULSE_100_MS_CONCENTRIC_IMPULSE,0.04331891743450526,3
JUMPS,CONCENTRIC_IMPULSE_100_MS_CONCENTRIC_IMPULSE,-0.016597071526697003,3
PHYSIOLOAD,CONCENTRIC_IMPULSE_100_MS_CONCENTRIC_IMPULSE,-0.0019012623081457354,3
EXERTIONS,CONCENTRIC_IMPULSE_100_MS_CONCENTRIC_IMPULSE,-0.015071050873390631,3
DISTANCE,CONCENTRIC_IMPULSE_100_MS_CONCENTRIC_IMPULSE,-0.0001532002800812791,3
AAL,TIME,0.18897997628306873,4
SPEEDMAX,TIME,0.11529708531751046,4
JUMPS,TIME,0.03233105781651614,4
PHYSIOLOAD,TIME,0.20682348503599357,4
EXERTIONS,TIME,0.03732239067190358,4
DISTANCE,TIME,0.15508349994935003,4
AAL,ECCENTRIC_MEAN_FORCE,0.0,4
SPEEDMAX,ECCENTRIC_MEAN_FORCE,0.0,4
JUMPS,ECCENTRIC_MEAN_FORCE,0.0,4
PHYSIOLOAD,ECCENTRIC_MEAN_FORCE,0.0,4
EXERTIONS,ECCENTRIC_MEAN_FORCE,0.0,4
DISTANCE,ECCENTRIC_MEAN_FORCE,0.0,4
AAL,BRAKING_PHASE_DURATION,-0.03897405346420658,4
SPEEDMAX,BRAKING_PHASE_DURATION,0.022670670459300674,4
JUMPS,BRAKING_PHASE_DURATION,-0.03502246918959262,4
PHYSIOLOAD,BRAKING_PHASE_DURATION,-0.028572017179033977,4
EXERTIONS,BRAKING_PHASE_DURATION,0.00270883886422676,4
DISTANCE,BRAKING_PHASE_DURATION,-0.013107931485322424,4
